"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pen_dur,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Duration (Days)</span>",,"(enter the duration the drug was administered in days) (enter -1 if not recorded)",number,,,,"[pen] = '1' and [is_minimum] = '0'",,,NA,,,
date_stopped,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Date Stopped. </span>",,"if unrecorded enter 1914-01-01)",date_ymd,,,,"[pen] = '1' and [is_minimum] = '0'",,,NA,,,
genta,drug_treatment,,yesno,"<span style=""color:black;text-align:left;"">2.Gentamicin prescribed
</span>",,,,,,,"[is_minimum] = '0'",y,RH,NA,,,
date_gentamycin_prescribed,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Date gentamicin prescribed</span>",,"if unrecorded enter 1914-01-01)",date_ymd,,,,"[genta] = '1' and [is_minimum] = '0'",,,NA,,,
genta_route,drug_treatment,,radio,"<span style=""color:black;text-align:left;"">Route</span>","1, I.M | 2, I.V |-1, Empty",,,,,,"[genta] = '1' and [is_minimum] = '0'",,RH,NA,,,
genta_dose,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Dose </span>
",,"mg (enter -1 if not recorded)",number,3,20,,"[genta] = '1' and [is_minimum] = '0'",,,NA,,,
genta_freq,drug_treatment,,dropdown,"<span style=""color:black;text-align:left;"">Frequency</span>","1, Once per day/once daily(OD) | 2, 12 hourly | 3, 8 hourly | 4, 6 hourly | -1, Empty",,,,,,"[genta] = '1' and [is_minimum] = '0'",,,NA,,,
genta_dur,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Duration (Days)</span>
",,"(enter the duration the drug was administered in days) (enter -1 if not recorded)",number,,,,"[genta] = '1' and [is_minimum] = '0'",,,NA,,,
date_gent_stopped,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Date Stopped</span>",,"if unrecorded enter 1914-01-01)",date_ymd,,,,"[genta] = '1' and [is_minimum] = '0'",,,NA,,,
amp,drug_treatment,,yesno,"<span style=""color:black;text-align:left;"">3.Ampicillin prescribed</span>",,,,,,,"[is_minimum] = '0'",y,RH,NA,,,
date_ampicillin_prescribed,drug_treatment,,text,"<span style=""color:black;text-align:left;"">date ampicillin prescribed</span>",,"if unrecorded enter 1914-01-01)",date_ymd,,,,"[amp] = '1' and [is_minimum] = '0'",,,NA,,,
amp_route,drug_treatment,,radio,"<span style=""color:black;text-align:left;"">Route</span>","0, I.M | 1, I.V |-1, Empty",,,,,,"[amp] = '1' and [is_minimum] = '0'",,RH,NA,,,
amp_dose,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Dose</span>",,"milligrams (mg) (enter -1 if not recorded)",number,,,,"[amp] = '1' and [is_minimum] = '0'",,,NA,,,
ampicilin_units,drug_treatment,,radio,"<span style=""color:black;text-align:left;"">Ampicillin units</span>","4, mg | 3, Empty | 1, iv | 2, im",,,,,,"[amp] = '1'  and [is_minimum] = '0'",,RH,NA,,,
amp_freq,drug_treatment,,dropdown,"<span style=""color:black;text-align:left;"">Frequency</span>","1, Once per day/once daily(OD) | 2, 12 hourly | 3, 8 hourly | 4, 6 hourly | -1, Empty",,,,,,"[amp] = '1' and [is_minimum] = '0'",y,RH,NA,,,
amp_dur,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Duration (Days)</span>",,"days ( enter -1 if not recorded)",number,,,,"[amp] = '1' and [is_minimum] = '0'",,,NA,,,
date_amp_stopped,drug_treatment,,text,"<span style=""color:black;text-align:left;"">Date Ampicillin Stopped</span>",,"if unrecorded enter 1914-01-01)",date_ymd,,,,"[amp] = '1' and [is_minimum] = '0'",,,NA,,,
ceftr,drug_treatment,,yesno,"<span style=""color:black;text-align:left;"">4.Ceftriaxone prescribed</span>",,,,,,,"[is_minimum] = '0'",y,RH,NA,,,
date_ceftriaxone_prescribe,drug_treatment,,text,"<span style=""color:black;text-align:left;"">date ceftriaxone prescribed</span>",,"if unrecorded enter 1914-01-01)",date_ymd,,,,"[ceftr] = '1' and [is_minimum] = '0'",,,NA,,,
ceftr_route,drug_treatment,,radio,"<span style=""color:black;text-align:left;"">Route</span>","1, I.M | 2, I.V | -1, Empty",,,,,,"[ceftr] = '1' and [is_minimum] = '0'",,RH,NA,,,
